date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA
2013-12-07,Crystal Palace,Cardiff,2.8,3.3,2.75,2.65,3.2,2.7
2013-12-07,Liverpool,West Ham,1.29,6.0,12.0,1.28,5.25,10.5
2013-12-07,Man United,Newcastle,1.53,4.33,7.0,1.53,4.0,6.25
2013-12-07,Southampton,Man City,5.25,3.8,1.75,4.75,3.5,1.75
2013-12-07,Stoke,Chelsea,6.5,4.2,1.57,6.0,3.8,1.57
2013-12-07,Sunderland,Tottenham,4.5,3.6,1.91,4.0,3.6,1.85
2013-12-07,West Brom,Norwich,1.8,3.75,5.0,1.75,3.5,4.75
2013-12-08,Arsenal,Everton,1.7,3.8,5.75,1.65,3.8,5.0
2013-12-08,Fulham,Aston Villa,2.75,3.3,2.8,2.65,3.3,2.6
2013-12-09,Swansea,Hull,1.75,3.75,5.5,1.72,3.5,5.0
2013-12-14,Cardiff,West Brom,2.63,3.4,2.88,2.55,3.25,2.75
2013-12-14,Chelsea,Crystal Palace,1.18,8.0,19.0,1.16,7.25,15.5
2013-12-14,Everton,Fulham,1.36,5.0,10.5,1.37,4.5,8.75
2013-12-14,Hull,Stoke,2.3,3.3,3.5,2.2,3.25,3.3
2013-12-14,Man City,Arsenal,1.83,3.75,4.75,1.75,3.75,4.4
2013-12-14,Newcastle,Southampton,2.4,3.4,3.2,2.35,3.4,2.9
2013-12-14,West Ham,Sunderland,1.95,3.6,4.33,1.91,3.4,4.1
2013-12-15,Aston Villa,Man United,5.25,3.8,1.75,5.25,3.6,1.67
2013-12-15,Norwich,Swansea,2.88,3.3,2.7,2.85,3.2,2.5
2013-12-15,Tottenham,Liverpool,2.5,3.4,3.0,2.55,3.3,2.7
2013-12-21,Crystal Palace,Newcastle,3.25,3.4,2.38,3.0,3.4,2.3
2013-12-21,Fulham,Man City,9.5,5.25,1.36,8.0,5.0,1.35
2013-12-21,Liverpool,Cardiff,1.2,7.5,16.0,1.2,6.75,12.0
2013-12-21,Man United,West Ham,1.36,5.25,10.0,1.31,5.25,9.0
2013-12-21,Stoke,Aston Villa,2.3,3.25,3.5,2.25,3.2,3.25
2013-12-21,Sunderland,Norwich,2.05,3.5,4.0,2.0,3.5,3.6
2013-12-21,West Brom,Hull,1.95,3.5,4.5,1.88,3.3,4.33
2013-12-22,Southampton,Tottenham,2.55,3.3,3.0,2.55,3.25,2.75
2013-12-22,Swansea,Everton,3.0,3.4,2.5,3.1,3.25,2.25
2013-12-23,Arsenal,Chelsea,2.38,3.4,3.25,2.3,3.3,3.0
2013-12-26,Aston Villa,Crystal Palace,1.91,3.5,4.5,1.8,3.5,4.33
2013-12-26,Cardiff,Southampton,3.3,3.3,2.38,3.1,3.3,2.25
2013-12-26,Chelsea,Swansea,1.33,5.5,10.0,1.35,5.0,7.75
2013-12-26,Everton,Sunderland,1.36,5.25,9.5,1.36,4.75,7.75
2013-12-26,Hull,Man United,7.0,4.2,1.55,6.0,3.9,1.55
2013-12-26,Man City,Liverpool,1.75,4.2,4.6,1.75,4.0,4.1
2013-12-26,Newcastle,Stoke,1.75,3.8,5.25,1.75,3.3,5.0
2013-12-26,Norwich,Fulham,2.05,3.5,4.0,2.05,3.25,3.6
