date,home_team,away_team,League,B365H,B365D,B365A,BWH,BWD,BWA,competition_id
2013-10-05,M'gladbach,Dortmund,"Bundesliga, Germany (L1)",5.0,3.75,1.67,4.6,3.9,1.7,L1
2013-10-05,Schalke 04,Augsburg,"Bundesliga, Germany (L1)",1.73,3.8,4.5,1.72,3.75,4.6,L1
2013-10-05,Stuttgart,Werder Bremen,"Bundesliga, Germany (L1)",1.7,3.8,4.75,1.72,3.8,4.5,L1
2013-10-05,Wolfsburg,Braunschweig,"Bundesliga, Germany (L1)",1.29,5.5,9.5,1.28,6.0,8.75,L1
2013-10-06,Freiburg,Ein Frankfurt,"Bundesliga, Germany (L1)",2.7,3.4,2.5,2.7,3.3,2.55,L1
2013-10-06,Nurnberg,Hamburg,"Bundesliga, Germany (L1)",2.38,3.5,2.8,2.5,3.5,2.65,L1
2013-10-18,Hoffenheim,Leverkusen,"Bundesliga, Germany (L1)",3.25,3.6,2.1,3.5,3.4,2.05,L1
2013-10-19,Bayern Munich,Mainz,"Bundesliga, Germany (L1)",1.1,9.0,23.0,1.1,10.0,17.0,L1
2013-10-19,Braunschweig,Schalke 04,"Bundesliga, Germany (L1)",4.75,3.6,1.73,4.6,3.9,1.7,L1
2013-10-19,Dortmund,Hannover,"Bundesliga, Germany (L1)",1.22,6.5,11.0,1.22,6.75,10.0,L1
2013-10-19,Ein Frankfurt,Nurnberg,"Bundesliga, Germany (L1)",1.57,4.0,5.5,1.57,4.1,5.5,L1
2013-10-19,Hertha,M'gladbach,"Bundesliga, Germany (L1)",2.38,3.4,2.9,2.55,3.3,2.7,L1
2013-10-19,Werder Bremen,Freiburg,"Bundesliga, Germany (L1)",1.95,3.4,3.8,2.0,3.5,3.6,L1
2013-10-20,Augsburg,Wolfsburg,"Bundesliga, Germany (L1)",2.38,3.4,2.88,2.45,3.3,2.85,L1
2013-10-20,Hamburg,Stuttgart,"Bundesliga, Germany (L1)",2.3,3.4,3.0,2.35,3.5,2.8,L1
2013-10-25,Stuttgart,Nurnberg,"Bundesliga, Germany (L1)",1.62,4.0,5.0,1.62,4.0,5.0,L1
2013-10-26,Bayern Munich,Hertha,"Bundesliga, Germany (L1)",1.1,9.0,21.0,1.1,10.0,16.5,L1
2013-10-26,Hannover,Hoffenheim,"Bundesliga, Germany (L1)",2.3,3.5,2.9,2.25,3.5,3.0,L1
2013-10-26,Leverkusen,Augsburg,"Bundesliga, Germany (L1)",1.5,4.33,6.0,1.48,4.4,6.25,L1
2013-10-26,Mainz,Braunschweig,"Bundesliga, Germany (L1)",1.57,4.1,5.25,1.57,4.0,5.75,L1
2013-10-26,Schalke 04,Dortmund,"Bundesliga, Germany (L1)",4.2,3.6,1.83,4.0,3.75,1.83,L1
2013-10-26,Wolfsburg,Werder Bremen,"Bundesliga, Germany (L1)",1.62,3.75,5.5,1.65,3.75,5.25,L1
2013-10-27,Freiburg,Hamburg,"Bundesliga, Germany (L1)",2.6,3.4,2.6,2.6,3.4,2.6,L1
2013-10-27,M'gladbach,Ein Frankfurt,"Bundesliga, Germany (L1)",2.05,3.5,3.4,2.0,3.5,3.6,L1
2013-11-01,Dortmund,Stuttgart,"Bundesliga, Germany (L1)",1.22,6.0,12.0,1.25,6.25,9.5,L1
2013-11-02,Braunschweig,Leverkusen,"Bundesliga, Germany (L1)",7.0,4.33,1.44,5.75,4.6,1.48,L1
2013-11-02,Ein Frankfurt,Wolfsburg,"Bundesliga, Germany (L1)",2.3,3.4,3.0,2.35,3.3,3.0,L1
2013-11-02,Hamburg,M'gladbach,"Bundesliga, Germany (L1)",2.3,3.5,2.9,2.35,3.5,2.85,L1
2013-11-02,Hertha,Schalke 04,"Bundesliga, Germany (L1)",2.3,3.4,3.0,2.3,3.5,2.9,L1
2013-11-02,Hoffenheim,Bayern Munich,"Bundesliga, Germany (L1)",12.0,6.0,1.25,8.5,6.0,1.28,L1
2013-11-02,Nurnberg,Freiburg,"Bundesliga, Germany (L1)",2.0,3.4,3.75,2.0,3.5,3.6,L1
2013-11-03,Augsburg,Mainz,"Bundesliga, Germany (L1)",2.0,3.5,3.6,2.0,3.4,3.7,L1
2013-11-03,Werder Bremen,Hannover,"Bundesliga, Germany (L1)",2.25,3.5,3.0,2.25,3.4,3.1,L1
2013-11-08,Hannover,Braunschweig,"Bundesliga, Germany (L1)",1.62,3.8,5.5,1.7,3.8,4.6,L1
2013-11-09,Bayern Munich,Augsburg,"Bundesliga, Germany (L1)",1.13,8.0,19.0,1.12,9.5,14.5,L1
2013-11-09,Hoffenheim,Hertha,"Bundesliga, Germany (L1)",2.2,3.4,3.2,2.05,3.5,3.4,L1
2013-11-09,Leverkusen,Hamburg,"Bundesliga, Germany (L1)",1.5,4.33,6.0,1.53,4.1,6.0,L1
2013-11-09,M'gladbach,Nurnberg,"Bundesliga, Germany (L1)",1.53,4.1,6.0,1.53,4.33,5.5,L1
2013-11-09,Schalke 04,Werder Bremen,"Bundesliga, Germany (L1)",1.57,4.0,5.5,1.6,4.33,4.75,L1
2013-11-09,Wolfsburg,Dortmund,"Bundesliga, Germany (L1)",4.5,3.8,1.73,5.0,3.8,1.65,L1
2013-11-10,Freiburg,Stuttgart,"Bundesliga, Germany (L1)",3.0,3.4,2.3,2.75,3.5,2.4,L1
